"Region","Major RGI region","Mountain range region","Country","Glacier","RGI glacier ID","RGI glacier Area","Lake name","Lake type","Longitude","Latitude","River","Date","Min. date","Max. date","Outburst mechanism","Mean lake volume","Min. lake volume","Max. lake volume","Lake volume determination method","Mean flood volume","Min. flood volume","Max. flood volume","Flood volume determination method","Peak discharge","Min. peak discharge","Max. peak discharge","Peak discharge determination method","Impact and destruction","Reported impacts (categorized)","Occurrence of economic losses","Damage to buildings","Damage to bridges","Damage to roads or paths","Damage to railroads","Damage to utilities","Damage to flood protection measures","Damage to the environment","Resettlement","Reported fatalities","Further comments","Year of First Reference Found","References","Reference comments","Lake area before","Perimeter before","Image date before","Satellite before","Scenename before","Certainty level before","Lake area after","Image date after","Perimeter after","Satellite after","Scenename after","Certainty level after","Lake area comments"
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1973-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Miles Glacier","RGI60-01.13531","421.012","Van Cleve Lake","ice","-144.408245","60.695872","Copper","1974-08","","","","","","","","","","","","8495.1","","","estimated by using LOC technique","","","","","","","","","","","","","","1996","Brabets, T. P. (1996). Geomorphology of the lower Copper River, Alaska (No. 96-500). US Geological Survey.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Skilak Glacier","RGI60-01.17774","171.454","Skilak lake","ice","-149.944668","60.199099","","1974-08-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","https://www.weather.gov/aprfc/gdlData?12","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1974-08-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1974-08-16","","","","","","","","","","","","926","","","gaged – hydrometic station records Water Survey of Canada (station no. 1208295)","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Triumvirate Glacier","RGI60-01.12425","341.521","Strandline Lake","ice","-151.90163394","61.49179702","","1974-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1985","Sturm, M., & Benson, C. S. (1985). A history of jökulhlaups from Strandline Lake, Alaska, USA. Journal of Glaciology, 31(109), 272-280.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1974-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Snow","RGI60-01.09061","50.928","Snow","ice","-148.924999","60.482579","","1974-09-10","","","","","","","","240.5286","","","estimated","707.92","","","estimated peak outflow of the lake","","","","","","","","","","","","","","1981","Chapman, D. L. (1981). Jokulhlaups on Snow River in southcentral Alaska: a compilation of recorded and inferred hydrographs and a forecast procedure.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Steele Glacier","RGI60-01.16377","254.841","Hazard Lake","ice","-140.207133","61.258349","","1975-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","Clarke, G. K. (1982). Glacier outburst floods from “Hazard Lake”, Yukon Territory, and the problem of flood magnitude prediction. Journal of Glaciology, 28(98), 3-21.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1975-08-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1975-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","Cascade Ra and Sa Nevada","USA","Kautz Glacier","RGI60-02.14341","1.659","","ice","-121.77","46.827","","1975-10-01","","","debris flow off moraine","","","","","0.003","","","estimated","","","","","","","","","","","","","","","","","","1989","D.R. Cline, personal slides (USGS, Tacoma WA) MENTIONED IN Driedger, C. L., & Fountain, A. G. (1989). Glacier outburst floods at Mount Rainier, Washington state, USA. Annals of Glaciology, 13, 51-55.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1976-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Steele Glacier","RGI60-01.16377","254.841","Hazard Lake","ice","-140.207133","61.258349","","1977-08-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","Clarke, G. K. (1982). Glacier outburst floods from “Hazard Lake”, Yukon Territory, and the problem of flood magnitude prediction. Journal of Glaciology, 28(98), 3-21.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Snow","RGI60-01.09061","50.928","Snow","ice","-148.924999","60.482579","","1977-08-30","","","","","","","","151.1013","","","estimated","393.6","","","estimated peak outflow of the lake","","","","","","","","","","","","","","1981","Chapman, D. L. (1981). Jokulhlaups on Snow River in southcentral Alaska: a compilation of recorded and inferred hydrographs and a forecast procedure.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","USA","Lituya Glacier","RGI60-01.21005","48.301","Desolation Lake","ice","-137.604","58.751","Lituya Bay","","1977-09-01","1978-06-06","subglacial tunneling","","","","","","","","","","","","","","","","","","","","","","","","","","2022","Georg Veh","","3307819","","1977-09-01","Landsat 2","LM02_L1TP_065019_19770901_20200907_02_T2","1","2559152","","1978-06-06","Landsat 3","LM03_L1TP_064019_19780606_20200907_02_T2","1",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Skilak Glacier","RGI60-01.17774","171.454","Skilak lake","ice","-149.944668","60.199099","","1977-09-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","https://www.weather.gov/aprfc/gdlData?12","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1977-09-11","","","","","","","","","","","","549","","","gaged – hydrometic station records Water Survey of Canada (station no. 1208295)","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1977-11-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Steele Glacier","RGI60-01.16377","254.841","Hazard Lake","ice","-140.207133","61.258349","","1978-08-08","","","","","","","","19.62","","","estimated","640","","","estimated","","","","","","","","","","","","","","1982","Clarke, G. K. (1982). Glacier outburst floods from “Hazard Lake”, Yukon Territory, and the problem of flood magnitude prediction. Journal of Glaciology, 28(98), 3-21.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1978-08-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","USA","Lituya Glacier","RGI60-01.21005","48.301","Desolation Lake","ice","-137.604","58.751","Lituya Bay","1978","1978-08-18","1978-09-04","subglacial tunneling","","","","","","","","","","","","","","","","","","","","","","","","","","2022","Georg Veh","","2814901","","1978-08-18","Landsat 3","LM03_L1TP_065019_19780818_20200906_02_T2","1","2243316","","1978-09-04","Landsat 3","LM03_L1TP_064019_19780904_20200906_02_T2","1",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1978-08-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1978-10-18","","","","","","","","","","","","1220","","","gaged – hydrometic station records Water Survey of Canada (station no. 1208295)","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","Cascade Ra and Sa Nevada","USA","Jack Glacier","","","","moraine","-121.838696","44.483785","","","1979","1988","","","","","","0.0117","","","estimated using bathymetric data","","","","","","","","","","","","","","","","","","2001","O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","Cascade Ra and Sa Nevada","USA","South Tahoma Glacier","RGI60-02.14352","2.82","","water pocket","-121.805","46.824","","1979-07","","","water flood; subglacial cavity connection at high pressure to low pressure drainage system","","","","","","","","","1000","","","unknown","water covered parts of the trailhead parking lot","x","","","","","","","","","","","","1989","Gene Casey, National Park Service, Mount Rainier CITED IN Driedger, C. L., & Fountain, A. G. (1989). Glacier outburst floods at Mount Rainier, Washington state, USA. Annals of Glaciology, 13, 51-55.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Steele Glacier","RGI60-01.16377","254.841","Hazard Lake","ice","-140.207133","61.258349","","1979-07-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","Clarke, G. K. (1982). Glacier outburst floods from “Hazard Lake”, Yukon Territory, and the problem of flood magnitude prediction. Journal of Glaciology, 28(98), 3-21.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Triumvirate Glacier","RGI60-01.12425","341.521","Strandline Lake","ice","-151.90163394","61.49179702","","1979-07-11","","","","","","","","700","","","unknown","6100","","","estimated – Clague-Mathews Formula","destroyed Beluga River Bridge","x","","","1","","","","","","","","","1985","Sturm, M., & Benson, C. S. (1985). A history of jökulhlaups from Strandline Lake, Alaska, USA. Journal of Glaciology, 31(109), 272-280.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Miles Glacier","RGI60-01.13531","421.012","Van Cleve Lake","ice","-144.408245","60.695872","Copper","1979-08","","","","","","","","","","","","9259.6","","","estimated by using LOC technique","","","","","","","","","","","","","","1996","Brabets, T. P. (1996). Geomorphology of the lower Copper River, Alaska (No. 96-500). US Geological Survey.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Flood Glacier","RGI60-01.03813","110.878","Flood Lake","ice","-131.912756","57.167432","","1979-08-13","","","","","","","","150","","","estimated","2160","","","estimated – discharge model based on several input parameters","","","","","","","","","","","","","","1984","Clarke, G. K., & Waldron, D. A. (1984). Simulation of the August 1979 sudden discharge of glacier-dammed Flood Lake, British Columbia. Canadian Journal of Earth Sciences, 21(4), 502-504.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1979-09-12","","","","","","","","","","","","800","","","gaged – hydrometic station records Water Survey of Canada (station no. 1208295)","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1979-09-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Snow","RGI60-01.09061","50.928","Snow","ice","-148.924999","60.482579","","1979-10-19","","","","","","","","127.04844","","","estimated","419.09","","","estimated peak outflow of the lake","","","","","","","","","","","","","","1981","Chapman, D. L. (1981). Jokulhlaups on Snow River in southcentral Alaska: a compilation of recorded and inferred hydrographs and a forecast procedure.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1980","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","Cascade Ra and Sa Nevada","USA","SnowKing Mountain","RGI60-02.17773","0.989","","moraine","-121.2847","48.3925","","1980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2005","McKillop, R. J. (2005). Objective preliminary assessment of outburst flood hazard from moraine-dammed lakes in southwestern British Columbia (Master thesis, Department of Earth Sciences-Simon Fraser University).","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","USA","Lituya Glacier","RGI60-01.21005","48.301","Desolation Lake","ice","-137.604","58.751","Lituya Bay","","1980-06-04","1981-03-19","subglacial tunneling","","","","","","","","","","","","","","","","","","","","","","","","","","2022","Georg Veh","","3330267","","1980-06-04","Landsat 2","LM02_L1TP_064019_19800604_20200906_02_T2","1","2404749","","1981-03-19","Landsat 2","LM02_L1TP_064019_19810319_20200905_02_T2","1",""
"NW North America","Alaska","St Elias Mtns","USA","Steele Glacier","RGI60-01.16377","254.841","Hazard Lake","ice","-140.207133","61.258349","","1980-06-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982","Clarke, G. K. (1982). Glacier outburst floods from “Hazard Lake”, Yukon Territory, and the problem of flood magnitude prediction. Journal of Glaciology, 28(98), 3-21.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1980-08-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Triumvirate Glacier","RGI60-01.12425","341.521","Strandline Lake","ice","-151.90163394","61.49179702","","1980-12-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1985","Sturm, M., & Benson, C. S. (1985). A history of jökulhlaups from Strandline Lake, Alaska, USA. Journal of Glaciology, 31(109), 272-280.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1981-07-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","Cascade Ra and Sa Nevada","USA","South Tahoma Glacier","RGI60-02.14352","2.82","","water pocket","-121.805","46.824","","1981-08","","","water flood; subglacial cavity connection at high pressure to low pressure drainage system","","","","","","","","","1000","","","unknown","low trail bridge was destroyed","x","","","1","","","","","","","","","1989","C. Harvey via G. Casey. National Park Service, Mount Rainier CITED IN Driedger, C. L., & Fountain, A. G. (1989). Glacier outburst floods at Mount Rainier, Washington state, USA. Annals of Glaciology, 13, 51-55.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1981-08-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1982","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","S Coast Ranges","Canada","Cumberland Glacier","RGI60-02.03629","3,315","MT Lake","ice","-124.518871","51.237632","","1982-07-20","","","","0.5","","","estimated","0.5","","","estimated","47","","","estimated – Clague-Mathews formula","","","","","","","","","","","","","","1985","Blown, I., & Church, M. (1985). Catastrophic lake drainage within the Homathko River basin, British Columbia. Canadian Geotechnical Journal, 22(4), 551-563.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.26722","82,477","Erie Lake","ice","-142.884085","61.567854","","1982-08-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1982-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Snow","RGI60-01.09061","50.928","Snow","ice","-148.924999","60.482579","","1982-09-17","","","","","","","","177.49803642","","","unknown","455.6688","","","gaged","","","","","","","","","","","","","","unknown","https://www.weather.gov/aprfc/gdlData?10","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Triumvirate Glacier","RGI60-01.12425","341.521","Strandline Lake","ice","-151.90163394","61.49179702","","1982-09-17","","","","","","","","710","","","estimated – calculated based on lake area measurements","6100","","","estimated – Clague-Mathews formula","","","","","","","","","","","","","","1985","Sturm, M., & Benson, C. S. (1985). A history of jökulhlaups from Strandline Lake, Alaska, USA. Journal of Glaciology, 31(109), 272-280.","","","","","","","","","","","","","",""
"NW North America","Alaska","W Chugach Mtns (Talkeetna)","USA","Skilak Glacier","RGI60-01.17774","171.454","Skilak lake","ice","-149.944668","60.199099","","1982-10-05","","","","","","","","135.68300213","","","unknown","","","","","","","","","","","","","","","","","","unknown","https://www.weather.gov/aprfc/gdlData?12","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1982-10-12","","","","","","","","","","","","680","","","gaged – hydrometic station records Water Survey of Canada (station no. 1208295)","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Alaska","St Elias Mtns","USA","Steller Glacier","RGI60-01.14883","743.599","Berg Lake","ice","-143.80331","60.403511","","1983","","","","","","","","","","","","16990.11","","","unknown","","","","","","","","","","","","","","2003","Trabant, D. C., March, R. S., & Thomas, D. S. (2003). Hubbard Glacier, Alaska: Growing and advancing in spite of global climate change and the 1986 and 2002 Russell Lake outburst floods. US Geological Survey, 907, 786-7100.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Tulsequah Glacier","RGI60-01.01521","148.734","Tulsequah Lake","ice","-133.823862","58.820674","","1983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2005","Geertsema, M., & Clague, J. J. (2005). Jökulhlaups at Tulsequah Glacier, northwestern British Columbia, Canada. The Holocene, 15(2), 310-316.","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","N Rocky Mtns","Canada","Mount Macoun","RGI60-02.03686","13.452","North Macoun Lake","moraine","-117.3911","51.2375","","1983-07","","","flood piping?","","","","","","","","","","","","","","","","","","","","","","","","","","1987","Evans, S. G. (1987). The breaching of moraine-dammed lakes in the southern Canadian Cordillera. In Proceedings, International Symposium on Engineering Geological Environment in Mountainous Areas (Vol. 2, pp. 141-150).","","","","","","","","","","","","","",""
"NW North America","Western Canada and USA","S Coast Ranges","Canada","Cumberland Glacier","RGI60-02.03467","2.958","Nostetuko Lake","moraine","-124.41","51.206","Homathko","1983-07-19","","","ice avalanche into moraine-dammed lake and overflow","","","","","6.5","","","unknown","1080","1080","","gaged – minimum estimate from hydrologic records, Water Survey of Canada, base flow removed","2 Water Survey of Canada gauging stations damaged","x","","","","","","","","","","","","1985","Kershaw, J. A., Clague, J. J., & Evans, S. G. (2005). Geomorphic and sedimentological signature of a two-phase outburst ﬂood from moraine‐dammed Queen Bess Lake, British Columbia, Canada. Earth Surface Processes and Landforms: The Journal of the British Geomorphological Research Group, 30(1), 1-25.; Blown, I., & Church, M. (1985). Catastrophic lake drainage within the Homathko River basin, British Columbia. Canadian Geotechnical Journal, 22(4), 551-563.","","","","","","","","","","","","","",""
"NW North America","Alaska","N Coast Ranges","Canada","Salmon Glacier","RGI60-01.06618","82.89","Summit Lake","ice","-130.079713","56.201261","Salmon","1983-07-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1993","Mathews, W. H., & Clague, J. J. (1993). The record of jökulhlaups from Summit Lake, northwestern British Columbia. Canadian Journal of Earth Sciences, 30(3), 499-508.","","","","","","","","","","","","","",""
"NW North America","Alaska","Alaska Ra (Wrangell/Kilbuck)","USA","Kennicott Glacier","RGI60-01.15645","292.531","Hidden Creek Lake","ice","-143.093834","61.560855","Kennicott","1983-08-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hidden Creek Lake maximum volume ~ 20–30e6 m³ – Walder et al. (2005)","1997","Rickman, R. L., & Rosenkrans, D. S., (1997). Hydrologic conditions and hazards in the Kennicott River basin, Wrangell-St. Elias National Park Preserve, Alaska. Water-Resources Investigations Report.","","","","","","","","","","","","","",""
